#ID,RA,DEC,RA_err,Dec_err
7.000000,53.009634,-27.270768,1.531699,1.531699
10.000000,53.008996,-27.047819,1.886209,1.886209
27.000000,53.196088,-27.176580,3.197879,3.197879
28.000000,52.289779,-26.935793,2.329621,2.329621
36.000000,52.862168,-28.302076,2.447846,2.447846
59.000000,52.209376,-27.202160,2.512644,2.512644
60.000000,53.080047,-27.493224,17.500538,17.500538
62.000000,52.598027,-28.425021,2.826951,2.826951
63.000000,52.016783,-27.448804,2.448958,2.448958
69.000000,52.207499,-27.316378,2.731203,2.731203
70.000000,52.438212,-28.203696,2.248293,2.248293
72.000000,53.108600,-27.675897,3.990630,3.990630
73.000000,53.112387,-27.685369,5.162778,5.162778
82.000000,53.010330,-28.350247,19.461008,19.461008
83.000000,52.792887,-27.279128,2.851629,2.851629
87.000000,52.206522,-27.028820,3.466478,3.466478
88.000000,52.634938,-27.078010,3.694620,3.694620
97.000000,52.695653,-27.987537,3.288385,3.288385
101.000000,53.191028,-28.376105,3.573566,3.573566
162.000000,53.049896,-27.624856,3.202048,3.202048
164.000000,52.277707,-27.947781,2.859848,2.859848
171.000000,52.179698,-28.358411,3.710752,3.710752
192.000000,52.524736,-27.472550,3.634467,3.634467
193.000000,52.572587,-27.571069,3.726121,3.726121
194.000000,52.570716,-27.118016,3.472607,3.472607
195.000000,52.627676,-28.358597,3.487224,3.487224
205.000000,53.268607,-28.227724,3.941251,3.941251
214.000000,53.263715,-27.140015,5.203330,5.203330
221.000000,52.737860,-26.994057,5.333925,5.333925
222.000000,52.743131,-26.978749,6.558633,6.558633
223.000000,52.712895,-26.982529,7.436485,7.436485
245.000000,52.367649,-28.326152,4.882316,4.882316
248.000000,52.851859,-28.272141,4.950554,4.950554
249.000000,52.811783,-27.921240,4.121043,4.121043
251.000000,53.156520,-28.146269,4.923195,4.923195
252.000000,53.146261,-28.155438,5.401451,5.401451
256.000000,52.070768,-27.045000,4.370613,4.370613
257.000000,52.070940,-27.235904,4.073376,4.073376
259.000000,53.036928,-27.792360,4.063113,4.063113
267.000000,53.112547,-27.485233,5.651885,5.651885
292.000000,52.087757,-28.348091,4.323708,4.323708
300.000000,52.361370,-27.518811,14.750812,14.750812
310.000000,53.057467,-27.466281,5.586267,5.586267
318.000000,52.226544,-28.288967,12.737929,12.737929
324.000000,52.306223,-27.051947,4.328746,4.328746
326.000000,52.512742,-27.550040,5.637740,5.637740
328.000000,52.566332,-28.039973,5.224740,5.224740
332.000000,52.879472,-27.479103,4.381624,4.381624
344.000000,52.149592,-27.734148,3.550482,3.550482
351.000000,53.256012,-27.761716,4.583148,4.583148
356.000000,53.249200,-27.796460,4.344811,4.344811
366.000000,53.025855,-27.014358,4.789645,4.789645
379.000000,52.603424,-28.174213,4.663636,4.663636
381.000000,52.381661,-26.931420,6.070954,6.070954
382.000000,52.402226,-26.942777,5.446300,5.446300
387.000000,52.023825,-28.447752,4.351954,4.351954
